20251209 BTC : 491,203 transactions (46s)
20251209 ETH : 382,082 transactions (47s)
20251210 BTC : 458,836 transactions (45s)
20251210 ETH : 382,668 transactions (45s)
20251211 BTC : 517,428 transactions (49s)
20251211 ETH : 350,415 transactions (50s)
20251212 BTC : 349,115 transactions (39s)
20251212 ETH : 263,278 transactions (39s)
20251213 ETH : 83,873 transactions (15s)
20251214 BTC : 261,622 transactions (28s)
20251214 ETH : 157,105 transactions (28s)
20251215 BTC : 569,402 transactions (49s)
20251215 ETH : 320,147 transactions (49s)
20251216 BTC : 473,630 transactions (47s)
20251216 ETH : 250,034 transactions (48s)
terminé
